%time,field.header.seq,field.header.stamp,field.header.frame_id,field.rssi
1783583874669180725,1884,1783583874669180725,,255
1783583874669180725,1884,1783583874669180725,,255
1783583874669180725,1884,1783583874669180725,,255
1783583874669180725,1884,1783583874669180725,,255
1783583874669180725,1884,1783583874669180725,,255
1783583874669180725,1884,1783583874669180725,,255
1783583874669180725,1884,1783583874669180725,,255
1783583874669180725,1884,1783583874669180725,,255
1783583874669180725,1884,1783583874669180725,,255
1783583874669180725,1884,1783583874669180725,,255
1783583875168861637,1885,1783583875168861637,,255
1783583875168861637,1885,1783583875168861637,,255
1783583875168861637,1885,1783583875168861637,,255
1783583875168861637,1885,1783583875168861637,,255
1783583875168861637,1885,1783583875168861637,,255
1783583875168861637,1885,1783583875168861637,,255
1783583875168861637,1885,1783583875168861637,,255
1783583875168861637,1885,1783583875168861637,,255
1783583875168861637,1885,1783583875168861637,,255
1783583875168861637,1885,1783583875168861637,,255
1783583875669019219,1886,1783583875669019219,,255
1783583875669019219,1886,1783583875669019219,,255
1783583875669019219,1886,1783583875669019219,,255
1783583875669019219,1886,1783583875669019219,,255
1783583875669019219,1886,1783583875669019219,,255
1783583875669019219,1886,1783583875669019219,,255
1783583875669019219,1886,1783583875669019219,,255
1783583875669019219,1886,1783583875669019219,,255
1783583875669019219,1886,1783583875669019219,,255
1783583875669019219,1886,1783583875669019219,,255
1783583876168926494,1887,1783583876168926494,,255
1783583876168926494,1887,1783583876168926494,,255
1783583876168926494,1887,1783583876168926494,,255
1783583876168926494,1887,1783583876168926494,,255
1783583876168926494,1887,1783583876168926494,,255
1783583876168926494,1887,1783583876168926494,,255
1783583876168926494,1887,1783583876168926494,,255
1783583876168926494,1887,1783583876168926494,,255
1783583876168926494,1887,1783583876168926494,,255
1783583876168926494,1887,1783583876168926494,,255
1783583876668966173,1888,1783583876668966173,,255
1783583876668966173,1888,1783583876668966173,,255
1783583876668966173,1888,1783583876668966173,,255
1783583876668966173,1888,1783583876668966173,,255
1783583876668966173,1888,1783583876668966173,,255
