%time,field.header.seq,field.header.stamp,field.header.frame_id,field.rssi
1783583660163714629,1455,1783583660163714629,,255
1783583660163714629,1455,1783583660163714629,,255
1783583660163714629,1455,1783583660163714629,,255
1783583660163714629,1455,1783583660163714629,,255
1783583660163714629,1455,1783583660163714629,,255
1783583660163714629,1455,1783583660163714629,,255
1783583660163714629,1455,1783583660163714629,,255
1783583660163714629,1455,1783583660163714629,,255
1783583660163714629,1455,1783583660163714629,,255
1783583660163714629,1455,1783583660163714629,,255
1783583660663691795,1456,1783583660663691795,,255
1783583660663691795,1456,1783583660663691795,,255
1783583660663691795,1456,1783583660663691795,,255
1783583660663691795,1456,1783583660663691795,,255
1783583660663691795,1456,1783583660663691795,,255
1783583660663691795,1456,1783583660663691795,,255
1783583660663691795,1456,1783583660663691795,,255
1783583660663691795,1456,1783583660663691795,,255
1783583660663691795,1456,1783583660663691795,,255
1783583660663691795,1456,1783583660663691795,,255
1783583661163357880,1457,1783583661163357880,,255
1783583661163357880,1457,1783583661163357880,,255
1783583661163357880,1457,1783583661163357880,,255
1783583661163357880,1457,1783583661163357880,,255
1783583661163357880,1457,1783583661163357880,,255
1783583661163357880,1457,1783583661163357880,,255
1783583661163357880,1457,1783583661163357880,,255
1783583661163357880,1457,1783583661163357880,,255
1783583661163357880,1457,1783583661163357880,,255
1783583661163357880,1457,1783583661163357880,,255
1783583661663461605,1458,1783583661663461605,,255
1783583661663461605,1458,1783583661663461605,,255
1783583661663461605,1458,1783583661663461605,,255
1783583661663461605,1458,1783583661663461605,,255
1783583661663461605,1458,1783583661663461605,,255
1783583661663461605,1458,1783583661663461605,,255
1783583661663461605,1458,1783583661663461605,,255
1783583661663461605,1458,1783583661663461605,,255
1783583661663461605,1458,1783583661663461605,,255
1783583661663461605,1458,1783583661663461605,,255
1783583662163639440,1459,1783583662163639440,,255
1783583662163639440,1459,1783583662163639440,,255
1783583662163639440,1459,1783583662163639440,,255
1783583662163639440,1459,1783583662163639440,,255
1783583662163639440,1459,1783583662163639440,,255
1783583662163639440,1459,1783583662163639440,,255
1783583662163639440,1459,1783583662163639440,,255
1783583662163639440,1459,1783583662163639440,,255
1783583662163639440,1459,1783583662163639440,,255
1783583662163639440,1459,1783583662163639440,,255
1783583662663729886,1460,1783583662663729886,,255
1783583662663729886,1460,1783583662663729886,,255
1783583662663729886,1460,1783583662663729886,,255
1783583662663729886,1460,1783583662663729886,,255
1783583662663729886,1460,1783583662663729886,,255
1783583662663729886,1460,1783583662663729886,,255
1783583662663729886,1460,1783583662663729886,,255
1783583662663729886,1460,1783583662663729886,,255
1783583662663729886,1460,1783583662663729886,,255
1783583662663729886,1460,1783583662663729886,,255
1783583663163546786,1461,1783583663163546786,,255
1783583663163546786,1461,1783583663163546786,,255
1783583663163546786,1461,1783583663163546786,,255
1783583663163546786,1461,1783583663163546786,,255
1783583663163546786,1461,1783583663163546786,,255
1783583663163546786,1461,1783583663163546786,,255
1783583663163546786,1461,1783583663163546786,,255
1783583663163546786,1461,1783583663163546786,,255
1783583663163546786,1461,1783583663163546786,,255
1783583663163546786,1461,1783583663163546786,,255
1783583663663822597,1462,1783583663663822597,,255
1783583663663822597,1462,1783583663663822597,,255
1783583663663822597,1462,1783583663663822597,,255
1783583663663822597,1462,1783583663663822597,,255
1783583663663822597,1462,1783583663663822597,,255
1783583663663822597,1462,1783583663663822597,,255
1783583663663822597,1462,1783583663663822597,,255
1783583663663822597,1462,1783583663663822597,,255
1783583663663822597,1462,1783583663663822597,,255
1783583663663822597,1462,1783583663663822597,,255
1783583664163725735,1463,1783583664163725735,,255
1783583664163725735,1463,1783583664163725735,,255
1783583664163725735,1463,1783583664163725735,,255
1783583664163725735,1463,1783583664163725735,,255
1783583664163725735,1463,1783583664163725735,,255
1783583664163725735,1463,1783583664163725735,,255
1783583664163725735,1463,1783583664163725735,,255
1783583664163725735,1463,1783583664163725735,,255
1783583664163725735,1463,1783583664163725735,,255
1783583664163725735,1463,1783583664163725735,,255
1783583664663765131,1464,1783583664663765131,,255
1783583664663765131,1464,1783583664663765131,,255
1783583664663765131,1464,1783583664663765131,,255
1783583664663765131,1464,1783583664663765131,,255
1783583664663765131,1464,1783583664663765131,,255
1783583664663765131,1464,1783583664663765131,,255
1783583664663765131,1464,1783583664663765131,,255
1783583664663765131,1464,1783583664663765131,,255
1783583664663765131,1464,1783583664663765131,,255
1783583664663765131,1464,1783583664663765131,,255
1783583665163665402,1465,1783583665163665402,,255
1783583665163665402,1465,1783583665163665402,,255
1783583665163665402,1465,1783583665163665402,,255
1783583665163665402,1465,1783583665163665402,,255
1783583665163665402,1465,1783583665163665402,,255
1783583665163665402,1465,1783583665163665402,,255
1783583665163665402,1465,1783583665163665402,,255
1783583665163665402,1465,1783583665163665402,,255
1783583665163665402,1465,1783583665163665402,,255
1783583665163665402,1465,1783583665163665402,,255
1783583665664260515,1466,1783583665664260515,,255
1783583665664260515,1466,1783583665664260515,,255
1783583665664260515,1466,1783583665664260515,,255
1783583665664260515,1466,1783583665664260515,,255
1783583665664260515,1466,1783583665664260515,,255
1783583665664260515,1466,1783583665664260515,,255
1783583665664260515,1466,1783583665664260515,,255
1783583665664260515,1466,1783583665664260515,,255
1783583665664260515,1466,1783583665664260515,,255
1783583665664260515,1466,1783583665664260515,,255
1783583666164240438,1467,1783583666164240438,,255
1783583666164240438,1467,1783583666164240438,,255
1783583666164240438,1467,1783583666164240438,,255
1783583666164240438,1467,1783583666164240438,,255
1783583666164240438,1467,1783583666164240438,,255
1783583666164240438,1467,1783583666164240438,,255
1783583666164240438,1467,1783583666164240438,,255
